headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
"In Saigon, a House for Gracious Living Combines the Best of East and West",1973-10-01,https://www.nytimes.com/1973/10/01/archives/in-saigon-a-house-for-gracious-living-combines-the-best-of-east-and.html,article,"SAIGON, South Vietnam—A stone's throw from the United States Embassy, hidden by high walls, is a house built as a haven from the ubiquitous guardposts, sandbag protectives and rusting barbed wire of Saigon. In present ‐ day Vietnam, it's rather unique—it's a building designed for gracious living.",Archives,By della Denman Special to The New York Times,Archives,,[]
"South Vietnamese, Formally at Peace, Find Cease‐Fire Accord a ‘Mockery’",1973-10-01,https://www.nytimes.com/1973/10/01/archives/south-vietnamese-formally-at-peace-find-ceasefire-accord-a-mockery.html,article,"SAIGON, South Vietnam, Sept. 27—They buried Pvt. Chau Tan Tai in the national military cemetery at Bien Hoa one recent morning, When the cease‐fire agreement was signed in Paris last January, he was a high school student, but then he failed an exam and was drafted.",Archives,By Fox Butterfield Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
Big Battle Reported By Saigon in Area 35 Miles From City,1973-10-02,https://www.nytimes.com/1973/10/02/archives/big-battle-reported-by-saigon-in-area-35-miles-from-city.html,article,"SAIGON, South Vietnam, Oct. 1—The Saigon command today reported a major battle in Tay Ninh Province, 35 miles northwest of the capital.",Archives,,Archives,,['Vietnam']
QUANG TRI LEADER IS PLACED ON TRIAL,1973-10-02,https://www.nytimes.com/1973/10/02/archives/quang-tri-leader-is-placed-on-trial-general-ordered-retreat-in-face.html,article,"SAIGON, South Vietnam, Oct. 1—The Government of President Nguyen Van Thieu, which has been talking of a Communist offensive next year, today put on trial the brigadier general charged with fleeing before last year's North Vietnamese drive in Quang Tri Province.",Archives,By James M. Markham Special to The New York Times,Archives,,['Vietnam']
BATTLE IN VIETNAM IS BATTALION‐SIZED,1973-10-03,https://www.nytimes.com/1973/10/03/archives/battle-in-vietnam-is-battalionsized-battle-in-vietnam.html,article,"THANH DUC, South Vietnam, Oct. 2—The Government military spokesman announced yesterday in Saigon that a regiment of Communist troops, supported by a Vietcong battalion, had attacked two Government battalions just northeast of here.",Archives,By James M. Markham Special to The New York Times,Archives,,['Vietnam']
Civilian P.O.W. Aid Pushed,1973-10-03,https://www.nytimes.com/1973/10/03/archives/civilian-pow-aid-pushed.html,article,"WASHINGTON, Oct. 2 (AP) —The Senate Judiciary Committee approved a bill today to increase benefits payable to civilians held prisoner during the war in Southeast Asia to $150 a month. The benefits now total $60 a month.",Archives,,Archives,,['Vietnam']
Ammunition Figures Show Active Saigon Air Force,1973-10-03,https://www.nytimes.com/1973/10/03/archives/ammunition-figures-show-active-saigonair-force.html,article,"SAIGON, South Vietnam, Oct. 2—In the first six months after the signing of the Paris peace agreement, the United States provided the South Vietnamese Air Force with 142,000 bombs, rockets and flares and 13.8 million rounds of small‐arms ammunition, according to American military officials.",Archives,By David K. Shipler Special to The New York Times,Archives,,['Vietnam']
"SENATE, 54 TO 42, VOTES $12‐BILLION FOR FOREIGN AID",1973-10-03,https://www.nytimes.com/1973/10/03/archives/senate-54-to-42-votes-12billion-for-foreign-aid-amount-authorized.html,article,"WASHINGTON, Oct. 2—The Senate approved a $1.2‐billion foreign assistance bill today by a vote of 54 to 42 after resisting two attempts to trim the authorization sharply.",Archives,By David Binder Special to The New York Times,Archives,,['Vietnam']
General at Quang Tri Sentenced to 5 Years,1973-10-03,https://www.nytimes.com/1973/10/03/archives/general-at-quang-tri-sentenced-to-5-years.html,article,"SAIGON, South Vietnam, Oct. 2—Brig. Gen. Vu Van Giai today was found guilty of abandoning his post as commander of the Third Division at Quang Tri during the Communists' 1972 offensive and was sentenced to five years' hard labor.",Archives,,Archives,,['Vietnam']
State Enlists Veterans to Guide Veterans Into College,1973-10-04,https://www.nytimes.com/1973/10/04/archives/state-enlists-veterans-to-guide-veterans-into-college-program.html,article,"TRENTON, Oct. 3 (AP)—The New Jersey Department of Higher Education is conducting an experimental program that uses veterans of the war in Vietnam to help other ex‐servicemen to get into college.",Archives,,Archives,,[]
News Summary and Index,1973-10-04,https://www.nytimes.com/1973/10/04/archives/news-summary-and-index-international-the-major-events-of-the-day.html,article,"THURSDAY, OCTOBER 4, 1973",Archives,,Archives,,['Vietnam']
Manlila and Democracy,1973-10-04,https://www.nytimes.com/1973/10/04/archives/manila-and-democracy.html,article,"ITHACA, N.Y.—The American conscience is not difficult to prick when democracy is in distress. It sent America into two world wars to save democracy. It sent her into a less decisive and less popular war in Vietnam to save democracy. It keeps hundreds of thousands of American soldiers posted around the world to stand guard for democracy. And it speaks up, eloquently and quite officially, whenever and wherever democracy is raped.",Archives,By Raul S. Manglapus,Archives,,[]
Vietnam Autumn,1973-10-05,https://www.nytimes.com/1973/10/05/archives/vietnam-autumn.html,article,"WASHINGTON—In the fall of 1939, in my native city in Vietnam, the now sadly famous former imperial capital of Hue, a young poet, Luu Trong Lu, published his Tieng Thu (The Sounds of Autumn). Overnight he became our idol.",Archives,By Tran van Dinh,Archives,,['Vietnam']
The New Normalcy,1973-10-05,https://www.nytimes.com/1973/10/05/archives/the-new-normalcy.html,article,"Nobody speaks much about Vietnam now, but it happened, and we are heading into a postwar era — the third in the lifetime of millions of Americans. The style for modern postwar eras was set by the first one, following World War I, and it has, so far, proved to be a rather persistent style. Our postwar periods are eras of disillusion and rebirth, marked by economic laissezfaire, political corruption, social liberation, and cultural flowering. After World War I we had Harding's normalcy, Teapot Dome, the age of jazz and flappers, and the great “lost generation” of writers. After World War II and its Korean aftermath, we had a great era of uncontrolled business expansion, the Truman Administration scandals (pale ones, it now appears, but scandals nonetheless), the civilrights movement.",Archives,By John Brooks,Archives,,[]
Calley Asks Top Military Court To Overturn 20‐Year Sentence,1973-10-05,https://www.nytimes.com/1973/10/05/archives/calley-asks-top-military-court-to-overturn-20year-sentence.html,article,"WASHINGTON, Oct. 4—Attorneys for First Lieut, William L. Calley Jr. asked the country's highest military review court today to overturn his conviction and 20‐year sentence for killing 22 civilians in the South Vietnamese hamlet of My Lai in 1968.",Archives,,Archives,,['Vietnam']
Vietcong Walkout Brings Suspension Of Talks in Paris,1973-10-05,https://www.nytimes.com/1973/10/05/archives/vietcong-walkout-brings-suspension-of-talks-in-paris.html,article,"PARIS, Oct 4 (AP) — The political talks between the Saigon Government and the Vietcong were indefinitely suspended today after the Vietcong State Minister, Nguyen Van Hieu, walked out of the 28th session without waiting for the other side to speak.",Archives,,Archives,,['Vietnam']
U.S. DENIES HALTING PULLOUT OF TROOPS,1973-10-06,https://www.nytimes.com/1973/10/06/archives/us-denies-halting-pullout-of-troops.html,article,"WASHINGTON, Oct. 5 (UP) —The Administration is reviewing its plans for withdrawing United States troops from overseas in light of continuing North Vietnamese military build‐ups and other factors, Defense Department officials said today. But they denied that some reductions had been canceled.",Archives,,Archives,,['Vietnam']
"PHNOM PENH BLAST KILLS 9, INJURES 21",1973-10-06,https://www.nytimes.com/1973/10/06/archives/phnom-penh-blast-kills-9-injures-21.html,article,"PHNOM PENH, Cambodia, Oct. 5 (UPI)—A hand grenade rigged as a booby trap exploded in the midst of a crowd buying lottery tickets at a market place near Phnom Penh's airport today, killing at least 9 people and wounding 21, most of them women.",Archives,,Archives,,['Vietnam']
