headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
Kissinger's Nobel Cash Goes to Children of G.I.'s,1973-12-01,https://www.nytimes.com/1973/12/01/archives/kissingers-nobel-cash-goes-to-children-of-gls.html,article,"OSLO, Nov. 30 (Reuters)—Secretary of State Kissinger, in a letter to the Norwegian Nobel Prize Committee, announced tonight that he had established a $57,500 scholarship fund for children of American servicemen killed or missing in action in Indochina.",Archives,,Archives,,['Vietnam']
Notes on People,1973-12-01,https://www.nytimes.com/1973/12/01/archives/a-young-kennedy-goes-home-notes-on-people.html,article,"Unassisted except for crutches, Edward M. Kennedy Jr. left the Georgetown University Hospital yesterday and went home to McLean, Va. The 12‐year‐old son of the Democratic Senator from Massachusetts carried with him a football from the coach of the Washington Redskins, George Allen. Physicians at Georgetown amputated the youth's right leg Nov. 17 in the hope of arresting bone cancer. Teddy will spend the next several days at home catching up with is schoolwork. . . . In Los Angeles, Elizabeth Taylor was said to be “looking great and doing very well” in her recovery from surgery to remove an ovarian cyst and to correct an intestinal disorder. She is expected to he out of the hospital in a week. . . . And here in New York, W. Averell Harriman, the diplomat and former Governor, was discharged from Columbia Presbyterian Medical Center after a three‐day stay for undiclosed reasons. The 82‐year‐old Mr. Harriman was admitted Tuesday.",Archives,Albin Krebs,Archives,,['Vietnam']
U.S. Plans to Seek New Nuclear Arms In Case Talks Fail,1973-12-01,https://www.nytimes.com/1973/12/01/archives/us-plans-to-seek-new-nuclear-arms-in-case-talks-fail-us-to-seek-new.html,article,"WASHINGTON, Nov. 30—Secretary of Defense James R. Schlesinger said today that the Administration would propose development of a new series of strategic weapons as insurance against the possible failure by the United States and the Soviet Union to agree to further limitation of their nuclear arsenals.",Archives,By John W. Finney Special to The New York Times,Archives,,['Vietnam']
War Isn't Over For Them—Their Son Must Stay in Canada,1973-12-02,https://www.nytimes.com/1973/12/02/archives/war-isnt-over-for-themtheir-son-must-stay-in-canada-consider-son.html,article,"SHARON, Vt. — Very few people here have ?? to say about that small Asian country called Vietnam It does neat seem to ?? much that this ?? will he the first in ?? when American ?? are not fighting there.",Archives,By Gloria Emerson Special to The New York Times,Archives,,[]
WAR HERO FACES COCAINE CHARGES,1973-12-03,https://www.nytimes.com/1973/12/03/archives/war-hero-faces-cocaine-charges-a-medal-of-honor-winner-is-accused.html,article,"PETALUMA, Calif., Dec. 2 —“Heroes are just ordinary people,” said Mrs. Beverly Penry, referring to her son, Richard A. Penry. He was awarded the Medal of Honor by President Nixon in June, 1971 for “conspicuous gallantry and extraordinary heroism” in Binh Tui Province in Vietnam.",Archives,,Archives,,['Vietnam']
A Dangerous Law,1973-12-03,https://www.nytimes.com/1973/12/03/archives/a-dangerous-law.html,article,"WASHINGTON—Congress's recent overriding of President Nixon's war powers veto has been acclaimed as an “historic recapture” of the Congressional prerogative to declare war. But the opposite is true. After struggling for three years to re‐establish its primacy in the war‐making area, Congress has now legally relegated itself —unconstitutionally, in my opinion—to the secondary role it has sadly and mistakenly accepted in the contemporary era.",Archives,By Thomas F. Eagleton,Archives,,['Vietnam']
VIETNAM REDS SET FUEL DEPOT AFIRE,1973-12-03,https://www.nytimes.com/1973/12/03/archives/vietnam-reds-set-fuel-depot-afire-rockets-hit-nations-biggest.html,article,"NHA BE, South Vietnam, Monday, Dec. 3—Communist gunners fired about 50 rounds rockets into the largest civilian gasoline storage area in the country here early this morning, creating a huge blaze and immediate gasoline shortages Saigon.",Archives,By James M. Markham Special to The New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
Raid Cuts Saigon Gasoline Stocks a Third,1973-12-04,https://www.nytimes.com/1973/12/04/archives/raid-cuts-saigon-gasoline-stocks-a-third.html,article,"SAIGON, South Vietnam, Dec. 3 — At least one third of South Vietnam's stock of gasoline for civilian use was reported destroyed early today by a rocket attack on a petroleum depot seven miles southeast of here.",Archives,By James M. Markham Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
South Vietnamese Planes Fly 124 Bombing Sorties,1973-12-04,https://www.nytimes.com/1973/12/04/archives/south-vietnamese-planes-fly-124-bombing-sorties.html,article,"SAIGON, South Vietnam, Monday, Dec. 4—The Saigon military spokesman announced today that South Vietnamese aircraft had flown 124 bombing sorties yesterday against Communist positions.",Archives,,Archives,,['Vietnam']
North Vietnamese Defects Because Life Is ‘Miserable’,1973-12-04,https://www.nytimes.com/1973/12/04/archives/north-vietnamese-defects-because-life-is-miserable-accent-termed.html,article,"LAI KHE, South Vietnam—A thin young man in wrinkled green North Vietnamese Army fatigues folded and unfolded his hands as he sat and talked in the South Vietnamese division commander's office.",Archives,By James F. Clarity Special to The New York Times,Archives,,['Vietnam']
