headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
Spook Leaves Hanoi,1973-05-01,https://www.nytimes.com/1973/05/01/archives/spook-leaves-hanoi.html,article,"TOKYO, April 30 (AP) Dr. Benjamin Spock and his wife left Hanoi today after a visit to North Vietnam, the Vietnam press agency reported.",Archives,,Archives,,['Vietnam']
U.S and Hanoi Aides Conclude a Phase of Review,1973-05-01,https://www.nytimes.com/1973/05/01/archives/us-and-hanoi-aides-conclude-a-phase-of-review.html,article,"PARIS, April 30—American and North Vietnamese delegates today concluded three sessions of talks to “prepare a review” of the Indochina ceasefire.",Archives,,Archives,,['Vietnam']
VETERANS BATTLE EMOTIONAL STRAIN,1973-05-01,https://www.nytimes.com/1973/05/01/archives/veterans-battle-emotional-strain-vietnam-returnees-discuss-problems.html,article,"ST. LOUIS, April 30—“The war has come home,” said Joe Garcia of Seattle, a member of the steering committee of the National Planning Conference on Emotional Needs of Vietnam Veterans. The group met here last weekend under the sponsorship of th National Council of Churches.",Archives,,Archives,,[]
DETAINED NEWSMEN RELEASED IN SAIGON,1973-05-01,https://www.nytimes.com/1973/05/01/archives/detained-newsmen-released-in-saigon.html,article,"SAIGON, South Vietnam, April 30 (AP)—Two correspondents for Newsweek and French woman, arrested when they returned from a stay of 11 days in Vietcong territory, were brought back to Saigon and released from Government custody tonight.",Archives,,Archives,,"['Vietnam', 'Vietnam']"
A THAI EX‐AIDE SAYS U.S. HAS OVERSTAYED,1973-05-01,https://www.nytimes.com/1973/05/01/archives/a-thai-exaide-says-us-has-overstayed.html,article,"BANGKOK, Thailand, April 30 (AP)—A former Foreign Minister has condemned the continued presence of American forces in Thailand, saying it was never intended that they should remain after a Vietnam cease‐fire.",Archives,,Archives,,[]
Vietnam and Watergate,1973-05-01,https://www.nytimes.com/1973/05/01/archives/vietnam-and-watergate-in-the-nation.html,article,"A lot of Americans thought George McGovern hysterical last year when he said the Nixon Administration was “the most corrupt in American his– tory.” But neither Senator McGovern nor anyone who supported hint should take pleasure in the considerable vindication they are now receiving. This grim spectacle of investigitkin, recrimination and resignation, overshadowed as it is by the probability of criminal indictment, shakes not just “the Nixon Administration” but American government, and to its rots.",Archives,By Tom Wicker,Archives,,[]
VIETCONG RELEASE 322 ON SCHEDULE,1973-05-01,https://www.nytimes.com/1973/05/01/archives/vietcong-release-322-on-schedule-but-saigon-delays-freeing-400-in.html,article,"SAIGON, South Vietnam, Tuesday, May 1 (Reuters)—The Vietcong's Provisional Revolutionary Government released 322 South Vietnamese civilians yesterday, Saigon high command sources reported today.",Archives,,Archives,,"['Vietnam', 'Vietnam']"
ROGERS DEPENDS CAMBODIA RAIDS,1973-05-01,https://www.nytimes.com/1973/05/01/archives/rogers-defends-cambodia-raids-facing-fulbright-committee-he-says.html,article,"WASHINGTON, April 30 Secretary of State William P. Rogers said today that the continued American bombing in Cambodia was legally justified by the Constitution and was “a meaningful interim action” to force the Communist‐backed insurgents there to agree to cease‐fire.",Archives,By Bernard Gwertzman Special to The New York Thus,Archives,,['Vietnam']
$2.9‐BILLION ASKED IN FOREIGN AID BILL,1973-05-02,https://www.nytimes.com/1973/05/02/archives/29billionasked-in-foreign-aid-bill-nixon-seeks-632million-to.html,article,"WASHINGTON, May 1—President Nixon today asked Congress to authorize $2.9‐billion in foreign economic and military aid in the fiscal year beginning July 1, including $632‐million for rebuilding all countries of Indochina except North Vietnam.",Archives,By Bernard Gwertzman Special tome New York Vows,Archives,,['Vietnam']
U.S. WARNS HANOI MILITARY ACTION COULD BE RESUMED,1973-05-02,https://www.nytimes.com/1973/05/02/archives/u-s-warns-hanoi-military-action-could-be-resumed-sullivan-leaving.html,article,"PARIS, May 1—North Vietnamese and United States negotiators returned home today with the American threatening resumption of United States military action in Vietnam if violations of the cease‐fire continued and Hanoi's representative ruling out a meeting soon between Henry A. Kissinger and Le Duc Tho.",Archives,,Archives,,[]
