headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
Two sides of a modern disaster,1973-07-01,https://www.nytimes.com/1973/07/01/archives/seed-journal-two-sides-of-a-modern-disaster.html,article,"Far from defiant crowds chanting “Hell, no! We won't go!” and equally far from bright recruitment posters and manly patriotic urgings, it was in the still, uneasy backwaters of individual minds that the decision formed: to go, or not to go, to Vietnam. That is one revelation of these two very different books. Neither James Strahs nor Tim O'Brien thought the war was right, or wanted to fight it. That Strahs wound up fleeing the draft through a haze of England, Spain, India and Canada, while O'Brien succumbed to it and fought in the terrifying mine‐sown paddies of Pinkville, had by both men's accounts almost nothing to do with principle.",Archives,By Annie Gottlieb,Archives,,[]
Hanoi Reports a Drought Is Serious'in 5 Provinces,1973-07-01,https://www.nytimes.com/1973/07/01/archives/hanoi-reports-a-drought-is-serious-in-5-provinces.html,article,"HONG KONG, June 30 (AP)—A severe drought has affected parts of North Vietnam and the “crop condition is very serious to critical” in five provinces south‐of Hanoi, North Vietnam's Communist party newspaper has retorted.",Archives,,Archives,,[]
Truce Unit Officers to Guide Hunt for 2 Missing Canadians,1973-07-01,https://www.nytimes.com/1973/07/01/archives/truce-unit-officers-to-guide-hunt-for-2-missing-canadians.html,article,"SAIGON, South Vietnam, June 30 (UPI)—Leaders of the International Commission of Control and Supervision agreed today to send high‐ranking military officials to coordinate the search for the two missing Canadian peace‐team members believed detained by the Vietcong.",Archives,,Archives,,['Vietnam']
Vietnamese Practice Rinksmanship,1973-07-01,https://www.nytimes.com/1973/07/01/archives/vietnamese-practice-rinksmanship-most-skaters-are-young.html,article,"SAIGON, South Vietnam, June 30—The South Viet‐namese have taken up roller skating.",Archives,,Archives,,[]
Dark side up,1973-07-01,https://www.nytimes.com/1973/07/01/archives/colby-of-ciacia-of-colby-dark-side-up.html,article,"A few weeks ago, a Norwegian who had served in the anti‐Nazi underground saw a newspaper photograph and thought he recognized an American O.S.S. officer he had worked with during the war and had known only as “No. 96.”",Archives,By David Wise,Archives,,['Vietnam']
Letters to the Editor,1973-07-01,https://www.nytimes.com/1973/07/01/archives/letters-to-the-editor-neglected-priorities-the-doctor-gap-and.html,article,To the Editor:,Archives,,Archives,,['Vietnam']
Is America burning?,1973-07-01,https://www.nytimes.com/1973/07/01/archives/is-america-burning.html,article,,Archives,By James A. Michener,Archives,,['Vietnam']
U.S. TEAMS SEARCH FOR MISSING G.I.'S,1973-07-01,https://www.nytimes.com/1973/07/01/archives/us-teams-search-for-missing-gis-but-the-effort-in-indochina.html,article,"DA NANG, South Vietnam, June 30—The teams searching for clues to the fate of the more than 1,300 Americans missing in action in Indochina have run into serious problems and their work has been painfully slow.",Archives,By Joseph B. Treaster Special to The New York Times,Archives,,['Vietnam']
Petitioner to U.N. Nears End of 450‐Mile Trek,1973-07-02,https://www.nytimes.com/1973/07/02/archives/petitioner-to-un-nears-end-of-450mile-trek.html,article,"DOBBS FERRY, N.Y., July 1 (AP) — Mrs. Catherine Hellwig marched 10 more miles under a hot sun today on her trek from Buffalo to New York City to dramatize the plight of 1,300 American servicemen still listed as missing in action in Southeast Asia.",Archives,,Archives,,['Vietnam']
Saigon Reports 3 Attacks By Reds on Central Coast,1973-07-02,https://www.nytimes.com/1973/07/02/archives/saigon-reports-3-attacks-by-reds-on-central-coast.html,article,"SAIGON, South Vietnam, July 1 (UPI)—The South Vietnamese command reported three Communist attacks today against Government units along Vietnam's central coast in what a Saigon spokesman said was the worst of weekend cease‐fire violations.",Archives,,Archives,,['Vietnam']
AID FOR PRISONERS IN VIETNAM URGED,1973-07-02,https://www.nytimes.com/1973/07/02/archives/aid-for-prisoners-in-vietnam-urged.html,article,"LONDON, July 1—Amnesty International today published a report on civilian prisoners in South Vietnam and called for urgent international pressure to obtain their release.",Archives,,Archives,,['Vietnam']
P.O.W. Hinted a Suicide,1973-07-02,https://www.nytimes.com/1973/07/02/archives/pow-hinted-a-suicide.html,article,"DENVER, July 1 (UPI) — An incomplete autopsy report indicates that Abel Larry Kavanaugh, former prisoner of war accused by a senior officer of collaborating with the enemy, committed suicide, according to a source within the coroner's office.",Archives,,Archives,,['Vietnam']
CALLEY MOVE DENIED BY MILITARY COURT,1973-07-03,https://www.nytimes.com/1973/07/03/archives/calley-move-denied-by-military-court.html,article,"WASHINGTON, July 2 (UPI) —The highest court of military law turned down today at‘ tempts by attorneys for First Lieut. William L. Calley Jr. to make the Government disclose any White House involvement in the investigation of the My, Lai slayings.",Archives,,Archives,,['Vietnam']
SAIGON IS EXPELLING JAPANESE REPORTER,1973-07-03,https://www.nytimes.com/1973/07/03/archives/saigon-is-expelling-japanese-reporter.html,article,"SAIGON, South Vietnam, July 2 (UPI)—The South Vietnamese Government has asked the chief Saigon correspondent for Asahi Shimbun, one of Japan's leading newspapers, to leave Vietnam because his paper carried an editorial saying Saigon was holding political prisoners.",Archives,,Archives,,"['Vietnam', 'Vietnam']"
U.S. MINESWEEPING FINISHED IN 3 PORTS,1973-07-03,https://www.nytimes.com/1973/07/03/archives/us-minesweeping-finished-in-3-ports.html,article,"HANOI, North Vietnam, July 2 (Agence France‐Presse)—The North Vietnamese press said today that Hanoi had received word from the United States that it had completed minesweeping at the entrances to the ports of Haipong, Hon Gai and Cain Pha.",Archives,,Archives,,['Vietnam']
New Bid Made to Free Vietnam Truce Observers,1973-07-03,https://www.nytimes.com/1973/07/03/archives/new-bid-made-to-free-vietnam-truce-observers.html,article,"SAIGON, South Vietnam, July 2 (UPI) — Efforts were made twice today to obtain the release of two Canadian truce observers who disappeared Thursday and are believed to be in Vietcong hands.",Archives,,Archives,,['Vietnam']
REPORT ON PRISONS ASSAILED BY SAIGON,1973-07-03,https://www.nytimes.com/1973/07/03/archives/report-on-prisonsassailed-by-saigon.html,article,"SAIGON, South Vietnam, July 2 (Reuters) — The South Vietnamese Government said today that there were no political prisoners in its jails and that charges to the contrary were part of “a new campaign of intoxication” conducted by international Communism.",Archives,,Archives,,['Vietnam']
Twists of CaMbodian Politics Put a Pact in Doubt,1973-07-03,https://www.nytimes.com/1973/07/03/archives/twists-of-cambodian-politics-put-a-pact-in-doubt-civil-war-or-not.html,article,"PHNOM PENH, Cambodia, July 2—Standing on the tarmac of the Phnom Penh airport is wrecked MIG‐17 jet fighter plane sent by the Russians to help Prince Norodom Sihanouk against neighboring Thailand and South Vietnam, allies of the United States.",Archives,By Malcolm W. Browne Special to The New York Times,Archives,,[]
7 FORMER P.O.W.'S FREED OF CHARGES OF AIDING ENEMY,1973-07-04,https://www.nytimes.com/1973/07/04/archives/7-former-pows-freed-of-chargesof-aiding-enemy-army-and-navy-dismiss.html,article,"WASHINGTON, July 3—The Army and the Navy dismissed charges today against seven enlisted men accused by an Air Force colonel of misconduct and collaborating with the enemy while they were held as prisoners of war by North Vietnam.",Archives,By John W. Finney; Special to The New York Times,Archives,,[]
UNION LEADER DIES IN VIETNAM PRISON,1973-07-04,https://www.nytimes.com/1973/07/04/archives/union-leader-dies-in-vietnam-prison-some-charge-murder-but-saigon.html,article,"SAIGON, South Vietnam, July 3—A Vietnamese labor leader, arrested over two months ago along with five other union officials, has died in prison, Vietnamese and American sources said today.",Archives,By Fox Butterfield; Special to The New York Times,Archives,,['Vietnam']
Canada Rejects Vietcong Offer To Help Find Truce Observers,1973-07-04,https://www.nytimes.com/1973/07/04/archives/canada-rejects-vietcong-offer-to-help-find-truce-observers-saigon.html,article,"OTTAWA, July 3 (Canadian Press)—The Vietcong have said they would help look for the two missing Canadian truce observers if Canada would declare that the men were not on iduty when they disappeared last Thursday, the External Affairs Department said today.",Archives,,Archives,,"['Vietnam', 'Vietnam']"
Saigon Opens Bids From Oil Companies For Offshore Probe,1973-07-04,https://www.nytimes.com/1973/07/04/archives/saigon-opens-bids-from-oil-companies-for-offshore-probe.html,article,,Archives,,Archives,,['Vietnam']
