headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
"Thieu Says 50,000 Have Been Killed During the Truce",1973-11-01,https://www.nytimes.com/1973/11/01/archives/thieu-says-50000-have-been-killed-during-the-truce-8-killed-in.html,article,"SAIGON, South Vietnam, Oct. 31 (UPI) — President Nguyen Van Thieu said today that almost one year of the “so‐called cease‐fire” had not ended the war in South Vietnam and that Communist forces were preparing for an offensive.",Archives,,Archives,,['Vietnam']
Vietnam War: Not a Matter of Past Tense in Saigon,1973-11-01,https://www.nytimes.com/1973/11/01/archives/vietnam-war-not-a-matter-of-past-tense-in-saigon-retaliation.html,article,"SAIGON, South Vietnam, Oct. 31—There is a strange gap of perception between those who live in Vietnam and many public figures who talk about it from a distance.",Archives,By James M. Markham Special to The New York Times,Archives,,['Vietnam']
Notes on People,1973-11-01,https://www.nytimes.com/1973/11/01/archives/a-new-academic-role-for-cox-notes-on-people.html,article,"Cambridge University has appointed Archibald Cox, recently dismissed by President Nixon as the special Watergate prosecutor, Pitt Professor of American History and Institutions. The job requires him to visit Cambridge at least once, sometime after next October, to deliver a lecture or course of lectures. Mr. Cox is on leave from his law professorship at Harvard.",Archives,Albin Krebs,Archives,,['Vietnam']
Gloom at West Point: Vietnam Backlash Puts. Football in Doldrums,1973-11-01,https://www.nytimes.com/1973/11/01/archives/gloom-at-west-point-vietnam-backlash-puts-football-in-doldrums.html,article,"WEST POINT, N. Y., Oct. 31—They still call the Saturday night dances “hops,” and cannon search the bend in the Hudson River where the British navy once tried to enter.",Archives,By Gerald Eskenazi Special to The New York Times,Archives,,[]
Screen: By Danny Lyon:The Program,1973-11-03,https://www.nytimes.com/1973/11/03/archives/screen-by-danny-lyonthe-program.html,article,"""The Films of Danny Lyon,"" the new program at the Film Forum, is a collection of three documentary films by the 31-year-old Brooklyn-born still photographer turned film-maker. The two best films in the collection, ""Llanito"" (61 minutes) and ""Soc. Sci. 127"" (21 minutes) are defined less by a developed cinematic style than by compassion for the subjects.""Llanito"" is a sorrowful montage of scenes of Indian life in the tiny New Mexico town of that name. It is not an especially finished film, but perhaps Mr. Lyon does not mean it to be.A couple of Indian men, half-kidding, dance around a beer can in a back alley. We listen to another man boast to the camera about his prowess as a hunter, while his mother mutters that the only thing he is good at is drinking.Juxtaposed against these scenes are others set in a home for the retarded, where, among other things, we listen to a white teen-age boy, who speaks in a high falsetto voice, telling us about freedom, sin, the crucifixion of Christ and the creation of the world (""God made everything out of nothing"").Mr. Lyon's fondness for bizarre images is balanced by a kind of solemn respect for his subjects. This is particularly true in ""Soc. Sci. 127,"" about an eccentric, hard-drinking tattoo artist named Bill Sanders, who, while he works, rambles on about Vietnam, lesbians and the art of what he advertises as ""velvety tattoos.""The third film on the program, ""El Chivot"" (The Goat) is a series of free associations on the life of goat and Indian. It runs six long, pretentious minutes.Mr. Lyon's skills as a photographer are evident throughout but I had the feeling in each of the films that he was still searching his images to find out what they might mean. This is not quite good enough.",Review,By Vincent Canby,Archives,,[]
A Vietnam Hamlet's Forges Feed on Scraps of War,1973-11-03,https://www.nytimes.com/1973/11/03/archives/a-vietnam-hamlets-forges-feed-on-scraps-of-war-how-war-fed-industry.html,article,"PHUONG DANH, South Vietnam — The dirt road is flanked by the clatter of hammers on steel. Throbbing charcoal fires glow and spit sparks. Men and their wives and their sons and daughters, faces glistening with sweat, pound chunks of red‐hot metal, beating, shaping, forging farm tools from the tools of war.",Archives,By David K. Shipler Special to The New York Times,Archives,,['Vietnam']
Saigon Pays Diem Homage After Celebrating His Fall,1973-11-03,https://www.nytimes.com/1973/11/03/archives/saigonpaysdiemhomage-after-celebrating-his-fall-emotion-restrained.html,article,"SAIGON, South Vietnam, Nov. 2 — Thousands of South Vietnamese celebrated the memory of President Ngo Dinh Diem with reverence today, a day after national celebrations marking the anniversary of the military coup d'état in 1963 in which he was assassinated.",Archives,By James F. Clarity Special to The New York Times,Archives,,['Vietnam']
Saigon's Ladies of Night Find Their Day Fading,1973-11-04,https://www.nytimes.com/1973/11/04/archives/saigons-ladies-of-night-find-their-day-fading.html,article,"SAIGON, South Vietnam, Nov. 3 (AP)—The micromini and the braless look are disappearing from the streets of Saigon.",Archives,,Archives,,['Vietnam']
Vietnam Veterans in Area Failing to Utilize G.I. Bill,1973-11-04,https://www.nytimes.com/1973/11/04/archives/vietnam-veterans-in-area-failing-to-utilize-gi-bill-failure-of.html,article,"WASHINGTON, Nov. 3 —Vietnam veterans in New York, New Jersey, and Connecticut are taking significantly less advantage of the educational benefits of the G.I. Bill of Rights than their counterparts across the country. On a per capita basis, for example, California veterans have received nearly twice as much in benefits New York's.",Archives,By Martin Tolchin Special to The New York Times,Archives,,[]
The State of the Presidency,1973-11-04,https://www.nytimes.com/1973/11/04/archives/the-state-of-the-presidency-mr-nixons-duty-mr-nixons-sense-of.html,article,"The visible disintegration of President Nixon's moral and political authority, of his capacity to act as Chief Executive, of his claim to leadership and to credibility leads us to the reluctant conclusion that Mr.. Nixon would be performing his ultimate service to the American people—and to himself—by resigning his office before this nation is forced to go through the traumatic and divisive process of impeachment.",Archives,,Archives,,['Vietnam']
