headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
GALLEY SENTENCED TO LIFE FOR MURDERS AT MYLAI 4; LENGTHY REVIEW TO BEGIN,1971-04-01,https://www.nytimes.com/1971/04/01/archives/calley-sentenced-to-life-for-murders-at-mylai-4-lengthy-review-to.html,article,"FORT BENNING, Ga., March 31—First Lieut. William L. Cal ley Jr. was sentenced to life imprisonment today for slaying at least 22 South Vietnamese civilians three years ago at the hamlet of Mylai 4.",Archives,By Romer Bigart Special to The New York Times,Archives,,['Vietnam']
Reports by Saigon on Toll Inflicted on Enemy in Laos Are Arousing Doubts,1971-04-01,https://www.nytimes.com/1971/04/01/archives/reports-by-saigon-on-toll-inflicted-on-enemy-in-laos-are-arousing.html,article,"SAIGON, South Vietnam, March 31 — The campaign against Communist supply lines in Laos is over, but statistical warfare continues to rage, rem iniscent of the days when American commanders put the stress on “the body count” to demonstrate success in the Viet nam war.",Archives,By Alvin Shuster Special to The New York Times,Archives,,['Vietnam']
Verdict Protested Anew; 3 Try to Jail Themselves,1971-04-01,https://www.nytimes.com/1971/04/01/archives/verdict-protested-anew-3-try-to-jail-themselves.html,article,"The outcome of the trial of First Lieut. William L. Calley Jr. stirred renewed and mount ing protests yesterday, with many Americans expressing their feelings through tele grams, petitions and resolu tions, and a few—both public figures and private citizens — taking more dramatic action.",Archives,By Linda Charlton,Archives,,['Vietnam']
White House Reaction,1971-04-01,https://www.nytimes.com/1971/04/01/archives/white-house-reaction.html,article,"SAN CLEMENTE, Calif., March 31 (AP) — At the West ern White House, the press secretary, Ronald L. Ziegler, said the regulation “seems to be directed towards support of the President and his Vietnam policy.” Asked by reporters if Mr. Nixon agreed that United States involvement in the war should be ended by January, 1973, Mr. Ziegler said. “It's our objective to accomplish these objectives as soon as possible.”",Archives,,Archives,,[]
Doc Blanchard Retires,1971-04-01,https://www.nytimes.com/1971/04/01/archives/doc-blanchard-retires.html,article,"AUSTIN, Tex., March 31 (AP) — Col. Felix (Doc) Blanchard, all‐America fullback at Army in 1944‐46, retired from the Air Force yesterday. Blanchard flew 113 jet fighter missions in the Vietnam War.",Archives,,Archives,,[]
Thieu Terms Laos Drive Saigon's ‘Biggest Victory’,1971-04-01,https://www.nytimes.com/1971/04/01/archives/thieu-terms-laos-drive-saigons-biggest-victory-thieu-asserts-drive.html,article,"DONGHA, South Vietnam, March 31—President Nguyen Van Thieu declared today that his troops' recent thrust into Laos had attained “the biggest victory ever” for the armedforces of South Vietnam.",Archives,,Archives,,"['Vietnam', 'Vietnam']"
Hard Labor Defined,1971-04-01,https://www.nytimes.com/1971/04/01/archives/hard-labor-defined.html,article,"FORT LEAVENWORTH, Kan., March 31 (UPI)—Maj. Cleve Cunningham, public informa tion officer at Fort Leaven worth, said tonight that the “hard labor” Lieutenant Calley was sentenced to “happens to be only a term.”",Archives,,Archives,,['Vietnam']
New Effort Against Trail,1971-04-01,https://www.nytimes.com/1971/04/01/archives/new-effort-against-trail.html,article,"DONGHA, South Vietnam, March 31 — A “new phase” in the South Vietnamese effort to disrupt the Ho Chi Minh Trail network in Laos was announced here today by President Nguyen Van Thieu.",Archives,,Archives,,['Vietnam']
CASUALTIES HEAVY AS ENEMY BURNS TOWN IN VIETNAM,1971-04-01,https://www.nytimes.com/1971/04/01/archives/casualties-heavy-as-enemy-burns-town-in-vietnam-district-capital-is.html,article,"SAIGON, South Vietnam, Thursday, April 1 — Enemy troops have attacked and burned most of a district capital in the northern part of South Vietnam, reportedly inflicting heavy casualties on civilians and their militia.",Archives,,Archives,,['Vietnam']
Thieu Comments He Was Confident Guilty Would Pay,1971-04-01,https://www.nytimes.com/1971/04/01/archives/thieu-comments-he-was-confident-guilty-would-pay.html,article,"DONG HA, South Vietnam, March 31 — President Nguyen Van Thieu said today that he had been confident that justice would punish those guilty of the killings at Mylai.",Archives,,Archives,,['Vietnam']
NEW DRIVE BEGINS IN AREA OF MYLAI,1971-04-01,https://www.nytimes.com/1971/04/01/archives/new-drive-begins-in-area-of-mylai-saigon-sweep-may-result-in-16000.html,article,"SAIGON, South Vietnam, March 31—South Vietnamese troops have begun a sweeping operation in the general region where the Mylai massacre oc curred three years ago that may force as many as 16,000 people from their homes.",Archives,By Henry Kamm Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
Liberals Seek ‘War Crimes’ Inquiry,1971-04-01,https://www.nytimes.com/1971/04/01/archives/liberals-seek-war-crimes-inquiry.html,article,"WASHINGTON, March 31 — With the aid of some Vietnam veterans, a group of liberal Democrats sought today to pre vail upon the House Armed Services Committee to conduct a public inquiry into alleged American war crimes in Viet nam.",Archives,By John W. Finney Special to The New York Times,Archives,,['Vietnam']
HOUSE DEMOCRATS ASK PULLOUT BY '73,1971-04-01,https://www.nytimes.com/1971/04/01/archives/house-democrats-ask-pullout-by-73-caucus-vote-is-138-to-62-on.html,article,"WASHINGTON, March 31 — House Democrats called today for an end to United States involvement in Indochina by the start of 1973.",Archives,By Marjorie Hunter Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
Chinese Fishing Boat Sunk In Collision With Soviet Ship,1971-04-01,https://www.nytimes.com/1971/04/01/archives/chinese-fishing-boat-sunk-in-collision-with-soviet-ship.html,article,"MOSCOW, March 31 — The Soviet Union announced tonight that a Soviet freighter had col lided with and sunk a Commun ist Chinese fishing schooner in the Gulf of Tonkin off the North Vietnam coast last night.",Archives,,Archives,,[]
Life for Lieutenant Calley,1971-04-01,https://www.nytimes.com/1971/04/01/archives/life-for-lieutenant-calley.html,article,The military court that ruled against unnecessary barbarism in war in convicting Lieut. William L. Calley Jr. of murder in Vietnam was wisely consistent in rejecting the barbarism of capital punishment when it sentenced the young officer to life imprisonment.,Archives,,Archives,,"['Vietnam', 'Vietnam']"
Agnew Describes Fulbright As Arrogant and Frustrated,1971-04-01,https://www.nytimes.com/1971/04/01/archives/agnew-describes-fulbright-as-arrogant-and-frustrated.html,article,"WASHINGTON, March 31 (UPI)—Vice President Agnew today described Senator J. Wil liam Fulbright as an arrogant, frustrated presidential candi date who was currying favor with the news media and feed ing Hanoi's hope for a divided United States.",Archives,,Archives,,"['Vietnam', 'Vietnam']"
Pravda Scores Pentagon,1971-04-01,https://www.nytimes.com/1971/04/01/archives/pravda-scores-pentagon.html,article,"MOSCOW, March 31 — The Communist party newspaper, Pravda, charged today that Lieutenant Calley was a “scape goat” and that his trial had been part of “a whole series of ma chinations by the Pentagon to save from justice most of those involved in the crime.”",Archives,,Archives,,['Vietnam']
Kremlin Rules Out Easing Of Bars to Western Ideas,1971-04-01,https://www.nytimes.com/1971/04/01/archives/kremlin-rules-out-easing-of-bars-to-western-ideas.html,article,"MOSCOW, March 31—Rank ing Soviet Communist party, leaders lashed out at Moscow's ideological adversaries today and told the party's 24th Con gress that there should be no letup in resistance to ideas not approved by the Kremlin.",Archives,By Bernard Gwertzman Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
Saigon Bans Weeklies Again,1971-04-02,https://www.nytimes.com/1971/04/02/archives/saigon-bans-weeklies-again.html,article,"SAIGON, South Vietnam, April 1 (AP)—Saigon authori ties have banned the April 4 issues of Time and Newsweek from sale in South Vietnam for articles considered “hostile to national security.” It marked the second week in a row that the magazines have been banned here. The action does not affect sales to American military personnel in post ex changes. ",Archives,,Archives,,"['Vietnam', 'Vietnam']"
U.S. Veterans of Vietnam War Rally on Wall Street for Peace,1971-04-02,https://www.nytimes.com/1971/04/02/archives/u-s-veterans-of-vietnam-war-rally-on-wall-street-for-peace.html,article,"A veteran of the war in Vietnam who has three Purple Hearts, a Bronze Star and a Silver Star told a noontime Wall Street rally yesterday, “We are all of us in this country guilty for having allowed the war to go on.” ",Archives,,Archives,,"['Vietnam', 'Vietnam']"
400 College Leaders Condemn War Policy in Letter to Nixon,1971-04-02,https://www.nytimes.com/1971/04/02/archives/400-college-leaders-condemn-war-policy-in-letter-to-nixon.html,article,More than 400 student presi dents and college editors have signed an open letter to Presi dent Nixon condemning his policies in Vietnam and charg ing that the Administration “seriously misinterprets the mood of both the campus and the countryside.” ,Archives,By John Kifner,Archives,,['Vietnam']
Agnew Denounces ‘Home‐Front Snipers’,1971-04-02,https://www.nytimes.com/1971/04/02/archives/agnew-denounces-homefront-snipers.html,article,"WASHINGTON, April 1— Vice President Agnew called critics of the war in Indochina “home‐front snipers!” today and accused them of having fos tered a negative attitude to ward American combat vet erans. ",Archives,By James M. Naughton Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
The ‘Forgotten’ G.I.'s Near Khesanh,1971-04-02,https://www.nytimes.com/1971/04/02/archives/the-forgotten-gis-near-khesanh.html,article,"KHESANH, South Vietnam, March 30—The American in fantrymen who have been patrolling the jungle‐covered mountains west of Khesanh —fighting and sometimes dy ing in obscure small‐unit clashes while supporting the South Vietnamese invasion of Laos—feel that they are for gotten men. ",Archives,By Craig R. Whitney Special to The New York Times,Archives,,['Vietnam']
F.B.I. CHECKED GROUP RELAYING P.O.W. MAIL,1971-04-02,https://www.nytimes.com/1971/04/02/archives/fbi-checked-group-relaying-pow-mail.html,article,"WASHINGTON, April 1 (AP) —The Federal Bureau of Inves tigation confirmed today that it had questioned relatives of prisoners of war about the peace group that relays mail to and from American prisoners of war in North Vietnam.",Archives,,Archives,,['Vietnam']
DRAFT UNTIL 1973 IS VOTED BY HOUSE,1971-04-02,https://www.nytimes.com/1971/04/02/archives/draft-until-1973-is-voted-by-house-29399-ballot-also-raises-pay-and.html,article,"WASHINGTON, April 1 — The House voted overwhelming ly tonight to continue the mili tary draft until the middle of 1973 and sharply increase pay and allowances for servicemen.",Archives,By David E. Rosenbaum Special to The New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
Letters to the Editor,1971-04-02,https://www.nytimes.com/1971/04/02/archives/laos-mission-accomplished.html,article,"To the Editor: As the South Vietnamese stream back across the border, the official dispatches‐7‐and President Nixon him self—describe the military action in Laos as successful.",Archives,Saul Levitt,Archives,,[]
Opposition to Galley's Conviction and Sentence Grows in Nation,1971-04-02,https://www.nytimes.com/1971/04/02/archives/opposition-to-calleys-conviction-and-sentence-grows-in-nation.html,article,"With telegrams, offers of money and demonstrations, Americans in both the public and private sectors expressed growing opposition yesterday to the conviction and sentenc ing of First‐Lieut. William L Calley Jr. ",Archives,,Archives,,['Vietnam']
Recapture of Base. Overrun by Enemy Reported by Saigon,1971-04-02,https://www.nytimes.com/1971/04/02/archives/recapture-of-base-overrun-by-enemy-reported-by-saigon-allies-retake.html,article,"SAIGON, South Vietnam, Fri day, April 2—A two‐day battle in the Central Highlands in which a North Vietnamese regi ment stormed into a South, Vietnamese fire base and then was pushed out again was re ported today by the Saigon command. ",Archives,,Archives,,['Vietnam']
New Phase of Indochina Debate,1971-04-02,https://www.nytimes.com/1971/04/02/archives/new-phase-of-indochina-debate-date-of-final-pullout-has-now-become.html,article,News Analysis,Archives,By Max Frankel Special to The New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam', 'Vietnam']"
Foe Recaptures Laos Post,1971-04-02,https://www.nytimes.com/1971/04/02/archives/foe-recaptures-laos-post.html,article,"VIENTIANE, Laos, April 1 (Reuters) — North Vietnamese forces launched a heavy coun terattack around the royal cap ital of Luang Prabang in north ern Laos and recaptured a stra tegic hilltop position, a De fense Ministry spokesman said today. ",Archives,,Archives,,[]
PRESIDENT ORDERS GALLEY RELEASED FROM STOCKADE,1971-04-02,https://www.nytimes.com/1971/04/02/archives/president-orders-calley-released-from-stockade-lieutenant-will-be.html,article,"President Nixon yesterday ordered First Lieutenant Wil liam L. Calley Jr. released from the stockade at Fort Benning, Ga., and returned to his guar ters on the base while his mur der conviction is being re viewed. ",Archives,By Linda Charlton,Archives,,['Vietnam']
"Dissidence Unit Has Dossier on 14,000",1971-04-02,https://www.nytimes.com/1971/04/02/archives/dissidence-unit-has-dossier-on-14000.html,article,"WASHINGTON, April 1 — A Department of Justice intel ligence unit that has replaced an Army Intelligence detach ment as the Government's main watchman of political dis sidence has compiled computer ized dossiers on nearly 14,000 Americans. ",Archives,By Richard Halloran Special to The New York Times,Archives,,['Vietnam']
2 Georgians in House Shift To Opposition to the War,1971-04-02,https://www.nytimes.com/1971/04/02/archives/2-georgians-in-house-shift-to-opposition-to-the-war-2-georgians-in.html,article,"WASHINGTON, April 1—A break appeared today in the once solid Southern flank in the House supporting the Viet nam war as two conservative Democrats from Georgia ani flounced their opposition to continuation of the fighting. ",Archives,By Join W. Finney Special to The New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
