headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
CAMPUSES FACING DAY'S SHUTDOWN; Opponents of the War Seek 'Moratorium' on Oct. 15,1969-07-01,https://www.nytimes.com/1969/07/01/archives/campuses-facing-days-shutdown-opponents-of-the-war-seek-moratorium.html,article,,Archives,By Christopher Lydon,Archives,,['Vietnam']
"Saigon, Denying Charge, Says Dzu Is Well Treated",1969-07-01,https://www.nytimes.com/1969/07/01/archives/saigon-denying-charge-says-dzu-is-well-treated.html,article,,Archives,,Archives,,['Vietnam']
Two M.P.s Are Slain,1969-07-01,https://www.nytimes.com/1969/07/01/archives/two-mps-are-slain.html,article,,Archives,,Archives,,['Vietnam']
Man Sets Himself Afire,1969-07-01,https://www.nytimes.com/1969/07/01/archives/man-sets-himself-afire.html,article,,Archives,,Archives,,['Vietnam']
Jersey G.I. Dies in Vietnam,1969-07-01,https://www.nytimes.com/1969/07/01/archives/jersey-gi-dies-in-vietnam.html,article,,Archives,,Archives,,[]
ENEMY RADIO WARNS OF P.O.W. 'REVENGE',1969-07-01,https://www.nytimes.com/1969/07/01/archives/enemy-radio-warns-of-pow-revenge.html,article,,Archives,,Archives,,['Vietnam']
Benhet Commander Says He Used Base As 'Bait' for Enemy; South Vietnamese Commander Terms Benhet 'Bait',1969-07-01,https://www.nytimes.com/1969/07/01/archives/benhet-commander-says-he-used-base-as-bait-for-enemy-south.html,article,,Archives,By B. Drummond Ayres Jr,Archives,,['Vietnam']
DROP IN SPENDING ON DEFENSE NOTED; First Significant Decline Indicated Since Start of War in Vietnam ALL FACTORS WEIGHED Plant Inventories Climbed in May as Orders for Durable Goods Fell DROP IN SPENDING ON DEFENSE NOTED,1969-07-02,https://www.nytimes.com/1969/07/02/archives/drop-in-spending-on-defense-noted-first-significant-decline.html,article,,Archives,By Edwin L. Dale Jr.special To the New York Times,Archives,,[]
Town With 7 War Dead Sends a Plea to Nixon,1969-07-02,https://www.nytimes.com/1969/07/02/archives/town-with-7-war-dead-sends-a-plea-to-nixon.html,article,,Archives,,Archives,,['Vietnam']
U.S. BLAMES FOE IN PRISON MISHAP; Says Enemy Rocket Hit Jail Holding War Captives,1969-07-02,https://www.nytimes.com/1969/07/02/archives/us-blames-foe-in-prison-mishap-says-enemy-rocket-hit-jail-holding.html,article,,Archives,By Hedrick Smithspecial To the New York Times,Archives,,"['Vietnam', 'Vietnam']"
Vietnam Casualties,1969-07-02,https://www.nytimes.com/1969/07/02/archives/vietnam-casualties.html,article,,Archives,,Archives,,[]
ROAD INTO BENHET OPENED BY CONVOY; Armored Unit Reaches Post as Shelling Ebbs -- 'Bait' Statement Discounted Road to Benhet Is Opened by an Armored Convoy,1969-07-02,https://www.nytimes.com/1969/07/02/archives/road-into-benhet-opened-by-convoy-armored-unit-reaches-post-as.html,article,,Archives,By James P. Sterbaspecial To the New York Times,Archives,,['Vietnam']
Store-Fraud Raids Show Middle Class Suffers Like Poor,1969-07-02,https://www.nytimes.com/1969/07/02/archives/storefraud-raids-show-middle-class-suffers-like-poor.html,article,,Archives,,Archives,,['Vietnam']
