headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
"THIEU, IN TEARS, ASKS SACRIFICES; President Defends Austerity Policy and Vows to Quit if Majority Opposes Him",1969-11-01,https://www.nytimes.com/1969/11/01/archives/thieu-in-tears-asks-sacrifices-president-defends-austerity-policy.html,article,,Archives,By Terence Smith,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
B-52'S RAID AREA AT CAMBODIA LINE; Targets Are Enemy Units That Shelled 4 Outposts,1969-11-01,https://www.nytimes.com/1969/11/01/archives/b52s-raid-area-at-cambodia-line-targets-are-enemy-units-that.html,article,,Archives,By James P. Sterba,Archives,,"['Vietnam', 'Vietnam']"
Agnew Bestows Medals,1969-11-01,https://www.nytimes.com/1969/11/01/archives/agnew-bestows-medals.html,article,,Archives,,Archives,,['Vietnam']
' Chicago 8' Trial Recessed to Seek Coast Lawyer; Defense Wants to Find Out if Seale's Attorney Can Join the Case Soon,1969-11-01,https://www.nytimes.com/1969/11/01/archives/-chicago-8-trial-recessed-to-seek-coast-lawyer-defense-wants-to.html,article,,Archives,By J. Anthony Lukas,Archives,,['Vietnam']
Congressional War Critics Threaten New Attack,1969-11-01,https://www.nytimes.com/1969/11/01/archives/congressional-war-critics-threaten-new-attack.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam']"
Citizens' Panel Sees Peril In Abrupt Vietnam Pullout; Panel Sees Peril in an Abrupt Pullout,1969-11-01,https://www.nytimes.com/1969/11/01/archives/citizens-panel-sees-peril-in-abrupt-vietnam-pullout-panel-sees.html,article,,Archives,By Felix Belair Jr,Archives,,"['Vietnam', 'Vietnam']"
Ban by Nixon Urged,1969-11-01,https://www.nytimes.com/1969/11/01/archives/ban-by-nixon-urged.html,article,,Archives,,Archives,,['Vietnam']
Beret Case Colonel Retires From Army; Beret Case Colonel Leaves the Army,1969-11-01,https://www.nytimes.com/1969/11/01/archives/beret-case-colonel-retires-from-army-beret-case-colonel-leaves-the.html,article,,Archives,,Archives,,['Vietnam']
"A Year After the Bombing Halt, Balance Sheet Is Still Unclear",1969-11-01,https://www.nytimes.com/1969/11/01/archives/a-year-after-the-bombing-halt-balance-sheet-is-still-unclear.html,article,,Archives,By Tad Szulc,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
' Peace Hysteria',1969-11-01,https://www.nytimes.com/1969/11/01/archives/-peace-hysteria.html,article,,Archives,"GILBERT D. KLICKSTEIN, M.D",Archives,,['Vietnam']
Mundt Hails Agnew Speech,1969-11-02,https://www.nytimes.com/1969/11/02/archives/mundt-hails-agnew-speech.html,article,,Archives,,Archives,,['Vietnam']
Australian Election; Gorton's Slim Victory Tests Vietnam Stand,1969-11-02,https://www.nytimes.com/1969/11/02/archives/australian-election-gortons-slim-victory-tests-vietnam-stand.html,article,,Archives,-- ROBERT TRUMBULL,Archives,,[]
UNICEF LIKELY TO AID RED CROSS ON HANOI,1969-11-02,https://www.nytimes.com/1969/11/02/archives/unicef-likely-to-aid-red-cross-on-hanoi.html,article,,Archives,Special to The New York Times,Archives,,['Vietnam']
Enemy Seizes Artillery Post in Vietnam,1969-11-02,https://www.nytimes.com/1969/11/02/archives/enemy-seizes-artillery-post-in-vietnam.html,article,,Archives,,Archives,,['Vietnam']
Peace Demonstrators,1969-11-02,https://www.nytimes.com/1969/11/02/archives/peace-demonstrators.html,article,,Archives,(Capt.) JASON R. GETTINGER,Archives,,"['Vietnam', 'Vietnam']"
S. D. S. PROTESTERS TRIED IN CHICAGO; Strategy of the Weathermen Is to Demand Juries,1969-11-02,https://www.nytimes.com/1969/11/02/archives/s-d-s-protesters-tried-in-chicago-strategy-of-the-weathermen-is-to.html,article,,Archives,By John Kifner,Archives,,['Vietnam']
Thieu Denies Enemy Claims,1969-11-02,https://www.nytimes.com/1969/11/02/archives/thieu-denies-enemy-claims.html,article,,Archives,,Archives,,['Vietnam']
Nixon Support Up in Poll,1969-11-02,https://www.nytimes.com/1969/11/02/archives/nixon-support-up-in-poll.html,article,,Archives,Special to The New York Times,Archives,,['Vietnam']
Nixon Works at Camp David On Vietnam Policy Speech,1969-11-02,https://www.nytimes.com/1969/11/02/archives/nixon-works-at-camp-david-on-vietnam-policy-speech.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam']"
Hero Fined in Marijuana Case,1969-11-02,https://www.nytimes.com/1969/11/02/archives/hero-fined-in-marijuana-case.html,article,,Archives,,Archives,,['Vietnam']
Chicago Trial; It Has Become a Political Confrontation,1969-11-02,https://www.nytimes.com/1969/11/02/archives/chicago-trial-it-has-become-a-political-confrontation.html,article,,Archives,-J. ANTHONY LUKAS,Archives,,['Vietnam']
Pravda Assails U.S. on War,1969-11-02,https://www.nytimes.com/1969/11/02/archives/pravda-assails-us-on-war.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam']"
The Vietnam Speech; What to Listen for Tomorrow Night,1969-11-02,https://www.nytimes.com/1969/11/02/archives/the-vietnam-speech-what-to-listen-for-tomorrow-night.html,article,,Archives,--MAX FRANKEL,Archives,,['Vietnam']
PENN COUNCIL BACKS A PEACE MEMORIAL,1969-11-02,https://www.nytimes.com/1969/11/02/archives/penn-council-backs-a-peace-memorial.html,article,,Archives,Special to The New York Times,Archives,,['Vietnam']
Washington: From Leadership to Partnership,1969-11-02,https://www.nytimes.com/1969/11/02/archives/washington-from-leadership-to-partnership.html,article,,Archives,By James Reston,Archives,,['Vietnam']
Strategy for Protest,1969-11-02,https://www.nytimes.com/1969/11/02/archives/strategy-for-protest.html,article,,Archives,JEREMY J. STONE,Archives,,['Vietnam']
Obligation to Help Vietnamese,1969-11-02,https://www.nytimes.com/1969/11/02/archives/obligation-to-help-vietnamese.html,article,,Archives,JOHN T. EDSALL,Archives,,['Vietnam']
"Anti-U.S. Feelings On Vietnam Issue Subsiding Abroad; Anti-U.S. Feeling Abroad Is Subsiding on the Vietnam Issue, Survey Shows",1969-11-02,https://www.nytimes.com/1969/11/02/archives/antius-feelings-on-vietnam-issue-subsiding-abroad-antius-feeling.html,article,,Archives,By Henry Tanner,Archives,,"['Vietnam', 'Vietnam']"
WAR VETERANS PLAN ANTIPROTEST DRIVE,1969-11-02,https://www.nytimes.com/1969/11/02/archives/war-veterans-plan-antiprotest-drive.html,article,,Archives,,Archives,,['Vietnam']
"1,500 DENOUNCE WAR AND CHICAGO 8 TRIAL",1969-11-02,https://www.nytimes.com/1969/11/02/archives/1500-denounce-war-and-chicago-8-trial.html,article,,Archives,,Archives,,['Vietnam']
Nixon's Presidency Is a Very Private Affair; Nixon's Presidency is a very private affair,1969-11-02,https://www.nytimes.com/1969/11/02/archives/nixons-presidency-is-a-very-private-affair-nixons-presidency-is-a.html,article,,Archives,By Robert B. Semple Jr,Archives,,"['Vietnam', 'Vietnam']"
Wall Street Is All Ears; Anything Dramatically New in Speech By Nixon Is Termed 'Out of Character' WALL ST. AWAITS PRESIDENT'S TALK,1969-11-03,https://www.nytimes.com/1969/11/03/archives/wall-street-is-all-ears-anything-dramatically-new-in-speech-by.html,article,,Archives,By John J. Abele,Archives,,"['Vietnam', 'Vietnam']"
Mitchell Asserts Militants Lead Coming Protest,1969-11-03,https://www.nytimes.com/1969/11/03/archives/mitchell-asserts-militants-lead-coming-protest.html,article,,Archives,Special to The New York Times,Archives,,['Vietnam']
"Ky Says Saigon Can Spare 180,000 Americans in 1970",1969-11-03,https://www.nytimes.com/1969/11/03/archives/ky-says-saigon-can-spare-180000-americans-in-1970.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
Seale's Lawyer Will Sue To Halt Gagging in Court,1969-11-03,https://www.nytimes.com/1969/11/03/archives/seales-lawyer-will-sue-to-halt-gagging-in-court.html,article,,Archives,,Archives,,['Vietnam']
SOVIET BELITTLES NIXON TALK TODAY; Pravda Says Conjectures in U.S. on a Vietnam Policy Change Are Misleading Soviet Belittles Nixon's Speech Today,1969-11-03,https://www.nytimes.com/1969/11/03/archives/soviet-belittles-nixon-talk-today-pravda-says-conjectures-in-us-on.html,article,,Archives,By Bernard Gwertzmanspecial To the New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam', 'Vietnam']"
