headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
PRESIDENT MEETS WITH JOINT CHIEFS ON TRUCE ACCORD,1972-12-01,https://www.nytimes.com/1972/12/01/archives/president-meets-with-joint-chiefs-on-truce-accord-pentagon-leaders.html,article,"WASHINGTON, Nov. 30 —The Joint Chiefs of Staff reviewed the Southeast Asian situation with President Nixon today and told him, according to a well‐placed Administration official, that they supported the terms of the projected settlement in Indochina now being negotiated with North Vietnam and being urged on South Vietnam.",Archives,By Bernard Gwertzman Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
The Terms Amount to Surrender,1972-12-01,https://www.nytimes.com/1972/12/01/archives/the-terms-amount-to-surrender.html,article,"HOUSTON — President Nixon has described the cease‐fire terms, first reported by Hanoi radio on Oct. 25 and discussed by Mr. Kissinger at a press conference the following day, as “peace with honor and not peace with surrender” and as ushering in what he has called “a generation of peace.”",Archives,By Francis L. Loewenheim,Archives,,['Vietnam']
No U.S. Deaths Reported In Last Week in Indochina,1972-12-01,https://www.nytimes.com/1972/12/01/archives/no-us-deaths-reported-in-last-week-in-indochina.html,article,"SAIGON, South Vietnam, Friday, Dec. 1 (AP)—The United States command reported yesterday that no American servicemen were killed in Indochina last week in either combat or accidents.",Archives,,Archives,,"['Vietnam', 'Vietnam']"
Thieu Said to Draw Plans For a Post‐Truce Cabinet,1972-12-01,https://www.nytimes.com/1972/12/01/archives/thieu-said-to-draw-plans-for-a-posttruce-cabinet-thieu-said-to-be.html,article,"SAIGON, South Vietnam, Nov. 30—Political figures inside and outside the Government say that President Nguyen Van Thieu is forging plans for major changes in his Cabinet, based on the conviction that a cease‐fire will come to Vietnam soon.",Archives,By Sylvan Fox Special to The New York Times,Archives,,['Vietnam']
Vietcong Try to Popularize Possible Postwar Figures,1972-12-01,https://www.nytimes.com/1972/12/01/archives/vietcong-try-to-popularize-possible-postwar-figures.html,article,"SAIGON, South Vietnam, Nov. 30—Recent Communist radio broadcasts have been mentioning the names of members of the National Liberation Front and Provisional Revolutionary Government of South Vietnam, apparently in a campaign to make them recognizable figures after a cease‐fire, American analysts believe.",Archives,By Craig R. Whitney Special to The New York Times,Archives,,['Vietnam']
Thieu Said to Draw Plans For a Post‐Truce Cabinet,1972-12-01,https://www.nytimes.com/1972/12/01/archives/new-jersey-pages-thieu-said-to-draw-plans-for-a-posttruce-cabinet.html,article,"SAIGON, South Vietnam, Nov. 30—Political figures inside and outside the Government say that President Nguyen Van Thieu is forging plans for, major changes in his Cabinet, based on the conviction that a cease‐fire will come to Vietnam soon.",Archives,By Sylvan Fox Special to The New York Times,Archives,,[]
Saigon Asks Direct Talks,1972-12-01,https://www.nytimes.com/1972/12/01/archives/saigon-asks-direct-talks.html,article,"SAIGON, South Vietnam, Nov. 30—Tin Song, the quasiofficial Saigon newspaper, said today that South Vietnam and the Communists should begin negotiating directly and do away with “go‐betweens.”",Archives,,Archives,,['Vietnam']
DMZ Report Is Denied,1972-12-01,https://www.nytimes.com/1972/12/01/archives/dmz-report-is-denied.html,article,"PARIS, Nov. 30—North Vietnam's spokesman at the Vietnam talks here, Nguyen Thanh Le, today reiterated Hanoi's position that the demilitarized zone between North and South Vietnam had been established by the Geneva Accords of 1954 as a “provisional military demarcation line” and of no lasting political or territorial significance.",Archives,,Archives,,[]
PRESIDENT MEETS WITH JOINT CHIEFS ON TRUCE ACCORD,1972-12-01,https://www.nytimes.com/1972/12/01/archives/new-jersey-pages-president-meets-with-joint-chiefs-on-truce-accord.html,article,"WASHINGTON, Nov. 30 —The Joint Chiefs of Staff reviewed the Southeast Asian situation with President Nixon today and told him, according to a well‐placed Administration official, that they supported the terms of the projected settlement in Indochina now being negotiated with North Vietnam and being urged on South Vietnam.",Archives,By Bernard Gwertzman Special to The New York Times,Archives,,[]
Books of The Times,1972-12-01,https://www.nytimes.com/1972/12/01/archives/its-the-children-that-get-you.html,article,P. S. YOUR NOT LISTENING. By Eleanor Craig. 215 pages. Illustrated. Richard W. Baron. $5.95.,Archives,,Archives,,['Vietnam']
