headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
SAIGON BOLSTERS QUANGTRI DRIVE,1972-07-01,https://www.nytimes.com/1972/07/01/archives/saigon-bolsters-quangtri-drive-copters-land-more-troops-but-little.html,article,"SAIGON, South Vietnam, Sat urday, July 1 — More South Vietnamese troops were lifted by helicopter into Communist occupied Quangtri Province yesterday as the drive to retake the northernmost part of the country went through its third day.",Archives,By Sydney H. Schanberg Special to The New York Times,Archives,,['Vietnam']
Notes On Metropolitan Congresamen,1972-07-01,https://www.nytimes.com/1972/07/01/archives/pike-tells-of-futility-in-house-then-gives-practical-example.html,article,"WASHINGTON, June 30— “Sometimes I wonder whether any of it is worth it,” Repre sentative Otis G. Pike Demo crat of Suffolk County, told the House this week as he began what turned out to be an unsuccessful effort to cut some items pending on the floor from the $21.3‐billion bill for military weap ons and re search. Despite the $21.3‐bil lion involved, Mr. Pike went on, “you look around the room and essen tially we are talking to our selves.”",Archives,By Richard L. Madden Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
Nixon Is Disputed on French P.O.W's,1972-07-01,https://www.nytimes.com/1972/07/01/archives/nixon-is-disputed-on-french-pows.html,article,"WASHINGTON, June 30— President Nixon inadvertently stirred a controversy last night by telling his televised news conference that, when France “got out of Vietnam” in 1954, “15,000 French were never ac counted for after that.”",Archives,,Archives,,['Vietnam']
U.S. Plans New Raids to Cut All Supplies,1972-07-01,https://www.nytimes.com/1972/07/01/archives/u-s-plans-new-raids-to-cut-all-supplies.html,article,"WASHINGTON, June 30— United States military planners are preparing a stepped up bombing effort in an attempt to shut off what they say is the last remaining trickle of mili tary supplies moving into North Vietnam from China.",Archives,By William Beecher Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
Visitor Describes North Vietnamese Dike as Badly Damaged,1972-07-01,https://www.nytimes.com/1972/07/01/archives/visitor-describes-north-vietnamese-dike-as-badly-damaged.html,article,"HANOI, North Vietnam, June 30—The dike at Phuly, a town about 40 miles from Hanoi, has been seriously damaged.",Archives,By Jean Thoraval Agence France&#8208;Presse,Archives,,['Vietnam']
Thieu Sees ‘Sign’ From Foe,1972-07-01,https://www.nytimes.com/1972/07/01/archives/thieu-sees-sign-from-foe.html,article,"SAIGON, South Vietnam, June 30 — President Nguyen Van Thieu of South Vietnam said today that his Government had agreed to return to the Paris peace talks because there was “a sign that the Communist side wants to negotiate seriously.”",Archives,,Archives,,['Vietnam']
Letters to the Editor,1972-07-01,https://www.nytimes.com/1972/07/01/archives/conscience-of-america.html,article,To the Editor:,Archives,,Archives,,['Vietnam']
"ENEMY INDICATES ASSENT ON TALKS, BUT STANDS FIRM",1972-07-01,https://www.nytimes.com/1972/07/01/archives/enemy-indicates-assent-on-talks-but-stands-firm-hanoi-and-vietcong.html,article,"PARIS, June 30—Both Com munist delegations today indi cated their readiness to return to the Vietnam peace confer ence, whose resumption on July 13 was announced by President Nixon at his news conference last night.",Archives,By Henry Giniger Special to The New York Times,Archives,,['Vietnam']
U.S. Reiterates Denial,1972-07-01,https://www.nytimes.com/1972/07/01/archives/us-reiterates-denial.html,article,"WASHINGTON, June 30—A Pentagon spokesman said to day in response to questions about the reported bombing of the Phuly dike that the De fens Department “will stand on the statements that we have made in the past and that were made yesterday by the Presi dent.”",Archives,,Archives,,['Vietnam']
Vietnam Veteran Guilty,1972-07-01,https://www.nytimes.com/1972/07/01/archives/vietnam-veteran-guilty.html,article,"SALT LAKE CITY, June 30 (UPI) —Richard F. McCoy Jr., a Vietnam war hero and for mer Sunday School teacher, was found guilty by a Federal court jury late yesterday of air piracy involving $500,000 in ransom.",Archives,,Archives,,[]
