headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
DRAFT DISSENTERS TO GET MORE HELP; Civil Liberties Committee Plans 'Militant' Campaign,1968-04-01,https://www.nytimes.com/1968/04/01/archives/draft-dissenters-to-get-more-help-civil-liberties-committee-plans.html,article,,Archives,By John Leo,Archives,,['Vietnam']
Nickerson Race Confused; Johnson Causes Upset Nickerson Opens Drive for Democratic Nomination,1968-04-01,https://www.nytimes.com/1968/04/01/archives/nickerson-race-confused-johnson-causes-upset-nickerson-opens-drive.html,article,,Archives,,Archives,,['Vietnam']
2 AVENUES OPEN TO GENEVA TALKS; U.N. or Control Unit Could Initiate Vietnam Parley,1968-04-01,https://www.nytimes.com/1968/04/01/archives/2-avenues-open-to-geneva-talks-un-or-control-unit-could-initiate.html,article,,Archives,,Archives,,['Vietnam']
Army Returning Troops Sent Bach to Vietnam,1968-04-01,https://www.nytimes.com/1968/04/01/archives/army-returning-troops-sent-bach-to-vietnam.html,article,,Archives,,Archives,,['Vietnam']
HALT IN BOMBING IS PUT IN EFFECT; Commanders Order Air and Sea Units to Stop Raids,1968-04-01,https://www.nytimes.com/1968/04/01/archives/halt-in-bombing-is-put-in-effect-commanders-order-air-and-sea-units.html,article,,Archives,,Archives,,['Vietnam']
"JOHNSON SAYS HE WON'T RUN; SURPRISE DECISION President Steps Aside in Unity Bid -- Says 'House' Is Divided Johnson, in a Surprise Decision, Tells the Nation He Will Not Run for Re-election PRESIDENT MOVES IN NAME OF UNITY He Says 'American House' Is Divided -- Vows to Give Full Time to Peace Quest",1968-04-01,https://www.nytimes.com/1968/04/01/archives/johnson-says-he-wont-run-surprise-decision-president-steps-aside-in.html,article,,Archives,By Tom Wickerspecial To the New York Times,Archives,,['Vietnam']
Negotiated Peace in Copper Industry's 'Vietnam War',1968-04-01,https://www.nytimes.com/1968/04/01/archives/negotiated-peace-in-copper-industrys-vietnam-war.html,article,,Archives,By A. H. Raskin,Archives,,[]
Decisions on War Reflect Appeals of Civilian Aides,1968-04-01,https://www.nytimes.com/1968/04/01/archives/decisions-on-war-reflect-appeals-of-civilian-aides.html,article,,Archives,By Hedrick Smithspecial To the New York Times,Archives,,"['Vietnam', 'Vietnam']"
For Nuclear Disarmament,1968-04-01,https://www.nytimes.com/1968/04/01/archives/for-nuclear-disarmament.html,article,,Archives,BERNARD T. FELD,Archives,,['Vietnam']
CHINESE IN SAIGON LIVING WITH FEAR; Charges They Aided Enemy Carry Threat of Reprisals,1968-04-01,https://www.nytimes.com/1968/04/01/archives/chinese-in-saigon-living-with-fear-charges-they-aided-enemy-carry.html,article,,Archives,By Bernard Weinraubspecial To the New York Times,Archives,,['Vietnam']
TWO JOHNSON AIDES HAIL VIETNAM DRIVE,1968-04-01,https://www.nytimes.com/1968/04/01/archives/two-johnson-aides-hail-vietnam-drive.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam']"
Shifts of Top U.S. Generals in Vietnam Expected,1968-04-01,https://www.nytimes.com/1968/04/01/archives/shifts-of-top-us-generals-in-vietnam-expected.html,article,,Archives,Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
They Didn't Believe Him; Aides Were Sure Johnson Would Run -In 1964 He Cited Issue of Nation's Unity',1968-04-01,https://www.nytimes.com/1968/04/01/archives/they-didnt-believe-him-aides-were-sure-johnson-would-run-in-1964-he.html,article,,Archives,By James Restonspecial To the New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
Top Saigon Officials Confused By Refusal of Johnson to Run; DECISION CONFUSES SAIGON OFFICIALS,1968-04-01,https://www.nytimes.com/1968/04/01/archives/top-saigon-officials-confused-by-refusal-of-johnson-to-run-decision.html,article,,Archives,By Gene Robertsspecial To the New York Times,Archives,,['Vietnam']
I Will Not Accept',1968-04-01,https://www.nytimes.com/1968/04/01/archives/i-will-not-accept.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam']"
Transcript of the President's Address on the Vietnam War and His Political Plans,1968-04-01,https://www.nytimes.com/1968/04/01/archives/transcript-of-the-presidents-address-on-the-vietnam-war-and-his.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam']"
Move Called 'Completely Irrevocable',1968-04-01,https://www.nytimes.com/1968/04/01/archives/move-called-completely-irrevocable.html,article,,Archives,Special to The New York Times,Archives,,['Vietnam']
Leaders of Peace Groups Term President's Decision a Victory,1968-04-01,https://www.nytimes.com/1968/04/01/archives/leaders-of-peace-groups-term-presidents-decision-a-victory.html,article,,Archives,,Archives,,['Vietnam']
Vote of the Week in the Senate,1968-04-01,https://www.nytimes.com/1968/04/01/archives/vote-of-the-week-in-the-senate.html,article,,Archives,Compiled by Congressional Quarterly,Archives,,['Vietnam']
