headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
Nixon and Peace,1968-11-01,https://www.nytimes.com/1968/11/01/archives/nixon-and-peace.html,article,,Archives,CHARLES B. WALLER,Archives,,['Vietnam']
Japan Is Pleased,1968-11-01,https://www.nytimes.com/1968/11/01/archives/japan-is-pleased.html,article,,Archives,Special to The New York Times,Archives,,['Vietnam']
Channel 13 Ahead 20 Minutes on Talk; CHANNEL 13 AHEAD ON JOHNSON TALK,1968-11-01,https://www.nytimes.com/1968/11/01/archives/channel-13-ahead-20-minutes-on-talk-channel-13-ahead-on-johnson.html,article,,Archives,By Michael T. Kaufman,Archives,,['Vietnam']
Swedish Asylum for 11 G.l.'s,1968-11-01,https://www.nytimes.com/1968/11/01/archives/swedish-asylum-for-11-gls.html,article,,Archives,,Archives,,['Vietnam']
HUMPHREY HAILS DECISION AS WISE; Asserts 'Vast Majority' Will Support It -- Aides Look for Campaign Upturn Humphrey Hails Move as Wise; Says Vast Majority Will Back It,1968-11-01,https://www.nytimes.com/1968/11/01/archives/humphrey-hails-decision-as-wise-asserts-vast-majority-will-support.html,article,,Archives,By R. W. Apple Jr.special To the New York Times,Archives,,['Vietnam']
Hanoi Delegate in Paris Awakened With News; Thay Withholds Comment -- U.S. Negotiators Confer Into Night at Embassy,1968-11-01,https://www.nytimes.com/1968/11/01/archives/hanoi-delegate-in-paris-awakened-with-news-thay-withholds-comment.html,article,,Archives,By Hedrick Smithspecial To the New York Times,Archives,,"['Vietnam', 'Vietnam']"
HAACK 'DELIGHTED'; Wall Streeters Expect Bullish Response by Traders Business Lauds Bombing Halt; Bullish Market Action Foreseen,1968-11-01,https://www.nytimes.com/1968/11/01/archives/haack-delighted-wall-streeters-expect-bullish-response-by-traders.html,article,,Archives,By Robert A. Wright,Archives,,['Vietnam']
A Step Toward Peace,1968-11-01,https://www.nytimes.com/1968/11/01/archives/a-step-toward-peace.html,article,,Archives,,Archives,,['Vietnam']
Noyd Plans New Appeal,1968-11-01,https://www.nytimes.com/1968/11/01/archives/noyd-plans-new-appeal.html,article,,Archives,,Archives,,['Vietnam']
Yippie Leader Indicted,1968-11-01,https://www.nytimes.com/1968/11/01/archives/yippie-leader-indicted.html,article,,Archives,,Archives,,['Vietnam']
Text of President Johnson's Broadcast to the Nation Announcing a Bombing Halt,1968-11-01,https://www.nytimes.com/1968/11/01/archives/text-of-president-johnsons-broadcast-to-the-nation-announcing-a.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
Vietnam: The Pause and Politics,1968-11-01,https://www.nytimes.com/1968/11/01/archives/vietnam-the-pause-and-politics.html,article,,Archives,By James Reston,Archives,,['Vietnam']
Wallace Told of Johnson Action; Hopes for an 'Honorable Peace',1968-11-01,https://www.nytimes.com/1968/11/01/archives/wallace-told-of-johnson-action-hopes-for-an-honorable-peace.html,article,,Archives,By Anthony Ripleyspecial To the New York Times,Archives,,['Vietnam']
North Vietnam Bombed,1968-11-01,https://www.nytimes.com/1968/11/01/archives/north-vietnam-bombed.html,article,,Archives,,Archives,,['Vietnam']
22 Days of Tension Led To Turning Point in Talks; 22 TENSE DAYS LED TO TURNING POINT,1968-11-01,https://www.nytimes.com/1968/11/01/archives/22-days-of-tension-led-to-turning-point-in-talks-22-tense-days-led.html,article,,Archives,By Peter Grosespecial To the New York Times,Archives,,['Vietnam']
GEN. LEMAY CALLS MOVES POLITICAL; Says Any Halt in Bombing Could Influence Election,1968-11-01,https://www.nytimes.com/1968/11/01/archives/gen-lemay-calls-moves-political-says-any-halt-in-bombing-could.html,article,,Archives,By Jerry M. Flintspecial To the New York Times,Archives,,['Vietnam']
Nixon Hopes Johnson Step Will Aid the Talks in Paris; NIXON HOPES STEP WILL HELP TALKS,1968-11-01,https://www.nytimes.com/1968/11/01/archives/nixon-hopes-johnson-step-will-aid-the-talks-in-paris-nixon-hopes.html,article,,Archives,By Robert B. Semple Jr,Archives,,['Vietnam']
MUSKIE CAUTIONS ON BOMBING HALT; Warns Road to Peace May Still Be Long and Arduous,1968-11-01,https://www.nytimes.com/1968/11/01/archives/muskie-cautions-on-bombing-halt-warns-road-to-peace-may-still-be.html,article,,Archives,,Archives,,['Vietnam']
'Danny the Red' Disrupts a Trial and Gets 3 Days,1968-11-01,https://www.nytimes.com/1968/11/01/archives/danny-the-red-disrupts-a-trial-and-gets-3-days.html,article,,Archives,,Archives,,['Vietnam']
BUSINESS PRAISES HALT IN BOMBING; STOCKS END MIXED Dow Index Up 1.31 -- Losses Top Gains by 705 to 699 ADVANCE FALTERS; STOCKS END MIXED,1968-11-01,https://www.nytimes.com/1968/11/01/archives/business-praises-halt-in-bombing-stocks-end-mixed-dow-index-up-131.html,article,,Archives,By John J. Abele,Archives,,['Vietnam']
Bombing Grew Out of '64 U.S. Intelligence Estimate,1968-11-01,https://www.nytimes.com/1968/11/01/archives/bombing-grew-out-of-64-us-intelligence-estimate.html,article,,Archives,Special to The New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
"Thieu, in Brief Statement, Says Johnson Took Step Unilaterally",1968-11-01,https://www.nytimes.com/1968/11/01/archives/thieu-in-brief-statement-says-johnson-took-step-unilaterally.html,article,,Archives,By Douglas Robinsonspecial To the New York Times,Archives,,"['Vietnam', 'Vietnam']"
"Impact on Campaign; Bombing Halt Likely to Aid Humphrey Only a Little, but That May Be Crucial",1968-11-01,https://www.nytimes.com/1968/11/01/archives/impact-on-campaign-bombing-halt-likely-to-aid-humphrey-only-a.html,article,,Archives,By Tom Wicker,Archives,,['Vietnam']
Vietcong Opens New Offices,1968-11-01,https://www.nytimes.com/1968/11/01/archives/vietcong-opens-new-offices.html,article,,Archives,,Archives,,['Vietnam']
CAUTION IS VOICED; U.S. Officials Expect the Sessions to Be Long and Difficult U.S. Foresees Difficult Talks in Paris,1968-11-01,https://www.nytimes.com/1968/11/01/archives/caution-is-voiced-us-officials-expect-the-sessions-to-be-long-and.html,article,,Archives,By Bernard Gwertzmanspecial To the New York Times,Archives,,"['Vietnam', 'Vietnam']"
