headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
Rummage Sale in Saigon Turns Chaotic,1970-11-01,https://www.nytimes.com/1970/11/01/archives/rummage-sale-in-saigon-turns-chaotic.html,article,"SAIGON, South Vietnam, Oct. 31—The American and British women of St. Christopher's Episcopal Church in Saigon held a charity rummage sale to day that quickly turned into a rout. Half of the goods—mostly clothing discarded by departing Americans—were stolen. ",Archives,By Iver Peterson;Special to The New York Times,Archives,,['Vietnam']
ANTIWAR RALLIES HELD ACROSS U.S.,1970-11-01,https://www.nytimes.com/1970/11/01/archives/antiwar-rallies-held-across-us-protests-generally-peaceful-crowds.html,article,"Protesters in cities across the country staged generally peace ful demonstrations, parades and rallies against the Vietnam war yesterday, three days before the Tuesday elections. ",Archives,,Archives,,['Vietnam']
TRADE BY FRANCE WITH HANOI SMALL,1970-11-01,https://www.nytimes.com/1970/11/01/archives/trade-by-france-with-hanoi-small-machinery-is-exchanged-for.html,article,"PARIS, Oct. 31 — Lacquered screens, straw mats, wicker baskets, specialty rice em broidery and a very high qual ity of hard coal are some of the products offered French consumers as a result of trade agreements with North Viet nam stretching back to 1955. ",Archives,By Clyde H. Farnsworth;Special to The New York Times,Archives,,['Vietnam']
Peking and Hanoi Sign Pact,1970-11-01,https://www.nytimes.com/1970/11/01/archives/peking-and-hanoi-sign-pact.html,article,"TOKYO, Oct. 31 (UPI)—Com mu??st China and North Viet nam signed an agreement today covering living standards and working conditions for Chinese technicians working Vietnam, Hsinhua, the official China Press Agency, said in a broad cast monitored here",Archives,,Archives,,['Vietnam']
HANOI AGAIN BLOCKS VISIT BY INDIAN AIDE,1970-11-01,https://www.nytimes.com/1970/11/01/archives/hanoi-again-blocks-visit-by-indian-aide.html,article,"NEW DELHI, Oct. 31— India has been rebuffed again by North Vietnam in her at tempts to play an intermediary role in Vietnam peace negotia tions. ",Archives,,Archives,,['Vietnam']
Approaching the Elections,1970-11-01,https://www.nytimes.com/1970/11/01/archives/approaching-the-elections-in-the-nation.html,article,"WASHINGTON — At an afternoon rally before a sizable student crowd at the University of Tennessee, Sen ator Albert Gore recently declared that Vice President Agnew “is our worst disaster since Vietnam.” As one man, the students leaped to their feet, cheering and whistling; even Mr. Gore, one of the best stump orators in the country, appeared taken aback by the enthusiastic response to his remarks; and the uproar went on for well over a minute.",Archives,By Tom Wicker,Archives,,[]
Stamps,1970-11-01,https://www.nytimes.com/1970/11/01/archives/stamps-three-designs-unveiled.html,article,"POSTMASTER GENERAL Winton M. Blount un veiled on Oct. 21 de signs of two 6‐cent stamps to be issued later this year honoring American serv icemen of past wars, and pay ing homage to men held as prisoners of war, or missing and killed in action in Viet nam. Both stamps will be printed on the same sheet. Mr. Blount has also an nounced issuance of a 6c stamp next year commem orating the 450th anniversary of the introduction of sheep to the North American conti nent.",Archives,By David Lidman,Archives,,"['Vietnam', 'Vietnam']"
HEAVY RAINS BRING THE WAR TO A HALT,1970-11-01,https://www.nytimes.com/1970/11/01/archives/heavy-rains-bring-the-war-to-a-halt.html,article,"SAIGON, South Vietnam, Oct. 31 (Reuters)—Monsoon rains sweeping across the northern provinces of South Vietnam have resulted in an unofficial truce in the war as military forces concentrate on aid in stead of destruction. ",Archives,,Archives,,['Vietnam']
DEMOCRATS ASSAIL SOME CAMPAIGN ADS,1970-11-01,https://www.nytimes.com/1970/11/01/archives/democrats-assail-some-campaign-ads.html,article,"WASHINGTON, Oct. 31 (UPI) — The Democratic Senatorial Campaign Committee accused the Committee for a Responsi ble Congress today of using what it called “artfully con trived and deceitful” newspaper advertisements in an attempt to link some Democratic can didates with extreme and radi cal positions.",Archives,,Archives,,['Vietnam']
THIEU SAYS PEACE CAN'T BE OBTAINED AT TALKS IN PARK,1970-11-01,https://www.nytimes.com/1970/11/01/archives/thieu-says-peace-cant-be-obtained-at-talks-in-paris-asserts-enemy.html,article,"SAIGON, Oct. 31—President Nguyen Van Thieu declared to day that the Communists had no intention of negotiating a settlement of the Vietnam war unless they were assured of total domination of the country. ",Archives,By Alvin Shuster;Special to The New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam', 'Vietnam']"
