headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
Fulbright Requests Senate to Reassert Foreign Policy Role; Fulbright Asks Senate to Reassert Foreign Role,1967-08-01,https://www.nytimes.com/1967/08/01/archives/fulbright-requests-senate-to-reassert-foreign-policy-role-fulbright.html,article,,Archives,By John Herbers Special To the New York Times,Archives,,['Vietnam']
Wounded Marines Are Removed From Demilitarized Zone in Vietnam,1967-08-01,https://www.nytimes.com/1967/08/01/archives/wounded-marines-are-removed-from-demilitarized-zone-in-vietnam.html,article,,Archives,,Archives,,['Vietnam']
Vietcong Tell Sihanouk 2 U.S. Aides Are Alive,1967-08-01,https://www.nytimes.com/1967/08/01/archives/vietcong-tell-sihanouk-2-us-aides-are-alive.html,article,,Archives,,Archives,,['Vietnam']
ROMNEY ACCUSES JOHNSON ON RIOTS; Charges He 'Played Politics' --Denies Vacillating in Request for Troops,1967-08-01,https://www.nytimes.com/1967/08/01/archives/romney-accuses-johnson-on-riots-charges-he-played-politics-denies.html,article,,Archives,By Jerry M. Flint Special To the New York Times,Archives,,['Vietnam']
NEWSMEN IN HANOI SEE DAMAGED DIKES,1967-08-01,https://www.nytimes.com/1967/08/01/archives/newsmen-in-hanoi-see-damaged-dikes.html,article,,Archives,,Archives,,['Vietnam']
JOHNSON SAYS U.S. CAN PAY FOR WAR AND ANTIRIOT AID; Tells News Parley Nation Is Rich Enough to Fight in Vietnam and Help Cities INQUIRY AIDE IS NAMED President Declines to Give Date for Tax-Rise Plea-- Disagrees With Thant,1967-08-01,https://www.nytimes.com/1967/08/01/archives/johnson-says-us-can-pay-for-war-and-antiriot-aid-tells-news-parley.html,article,,Archives,By Roy Reed Special To the New York Times,Archives,,[]
Hanoi's Charge Is Denied,1967-08-01,https://www.nytimes.com/1967/08/01/archives/hanois-charge-is-denied.html,article,,Archives,,Archives,,['Vietnam']
FORRESTAL BLAZE CUTS DOWN RAIDS IN NORTH VIETNAM; Only 10 Missions Flown by Planes From Carriers-- Fire's Toll Reaches 129,1967-08-01,https://www.nytimes.com/1967/08/01/archives/forrestal-blaze-cuts-down-raids-in-north-vietnam-only-10-missions.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
100 in New Zealand Jeer U.S. Presidential Envoys,1967-08-01,https://www.nytimes.com/1967/08/01/archives/100-in-new-zealand-jeer-us-presidential-envoys.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam']"
SATO PLANS TO SEEK PEACE FOR VIETNAM,1967-08-01,https://www.nytimes.com/1967/08/01/archives/sato-plans-to-seek-peace-for-vietnam.html,article,,Archives,,Archives,,['Vietnam']
CRITIC OF VIETNAM CLEARED BY ARMY; Lack of Evidence Found-- Two Demonstrators Held,1967-08-01,https://www.nytimes.com/1967/08/01/archives/critic-of-vietnam-cleared-by-army-lack-of-evidence-found-two.html,article,,Archives,,Archives,,['Vietnam']
Transcript of the President's News Conference on Domestic and Foreign Affairs; OPENING STATEMENT,1967-08-01,https://www.nytimes.com/1967/08/01/archives/transcript-of-the-presidents-news-conference-on-domestic-and.html,article,,Archives,,Archives,,"['Vietnam', 'Vietnam']"
SAIGON AIDE REBUKES THANT ON WAR VIEW,1967-08-02,https://www.nytimes.com/1967/08/02/archives/saigon-aide-rebukes-thant-on-war-view.html,article,,Archives,,Archives,,['Vietnam']
CAMBODIA REJECTED U.S. OFFER TO TALK,1967-08-02,https://www.nytimes.com/1967/08/02/archives/cambodia-rejected-us-offer-to-talk.html,article,,Archives,,Archives,,['Vietnam']
"100,000 VOLUNTEERS IN VIETNAM SINCE'64",1967-08-02,https://www.nytimes.com/1967/08/02/archives/100000-volunteers-in-vietnam-since64.html,article,,Archives,,Archives,,['Vietnam']
